epoch,step,train_loss,val_loss
0,11,,0.05575384572148323
1,23,,0.022501062601804733
2,35,,0.016974499449133873
3,47,,0.00526185380294919
4,49,0.006048685405403376,
4,59,,0.005047994665801525
5,71,,0.004066582769155502
6,83,,0.003853752976283431
7,95,,0.003793898969888687
8,99,0.00272333319298923,
8,107,,0.0037016007117927074
9,119,,0.003622169839218259
10,131,,0.003646671772003174
11,143,,0.0035377040039747953
12,149,0.0032050455920398235,
12,155,,0.003454911056905985
13,167,,0.0036433259956538677
14,179,,0.00353048462420702
15,191,,0.00378882116638124
16,199,0.0037162117660045624,
16,203,,0.003352066269144416
17,215,,0.003198101418092847
18,227,,0.003148346906527877
19,239,,0.003247237065806985
20,249,0.0029246520716696978,
20,251,,0.003061911789700389
21,263,,0.003031370462849736
22,275,,0.002996674971655011
23,287,,0.0029988728929311037
24,299,0.0034352666698396206,
24,299,,0.002944685285910964
25,311,,0.003065330209210515
26,323,,0.0028993836604058743
27,335,,0.0029104866553097963
28,347,,0.0028906413353979588
29,349,0.0034492085687816143,
29,359,,0.0028755355160683393
30,371,,0.002972964197397232
31,383,,0.0029823246877640486
32,395,,0.0030521147418767214
33,399,0.002270061755552888,
33,407,,0.0028902168851345778
34,419,,0.002806565258651972
35,431,,0.0027831539046019316
36,443,,0.002874785801395774
37,449,0.0034280098043382168,
37,455,,0.0027677190955728292
38,467,,0.0027662147767841816
39,479,,0.0029086146969348192
