epoch,step,train_loss,val_loss
0,30,,0.009347116574645042
1,49,0.06619612872600555,
1,61,,0.00576118566095829
2,92,,0.0036841584369540215
3,99,0.01539604552090168,
3,123,,0.002857314422726631
4,149,0.008228731341660023,
4,154,,0.00244799442589283
5,185,,0.0024005097802728415
6,199,0.004070602357387543,
6,216,,0.002933286130428314
7,247,,0.0023808865807950497
8,249,0.006117280572652817,
8,278,,0.0022386074997484684
9,299,0.006865695118904114,
9,309,,0.0023969141766428947
10,340,,0.0028703585267066956
11,349,0.0036303773522377014,
11,371,,0.002559822518378496
12,399,0.0036249072290956974,
12,402,,0.0022919182665646076
13,433,,0.002200318733230233
14,449,0.003634439781308174,
14,464,,0.0021716945338994265
15,495,,0.002190896775573492
16,499,0.0035396243911236525,
16,526,,0.0022024759091436863
17,549,0.0042481254786252975,
17,557,,0.0027134912088513374
18,588,,0.00223664497025311
19,599,0.005316432565450668,
19,619,,0.0023193436209112406
20,649,0.003906865604221821,
20,650,,0.0022052789572626352
21,681,,0.0021541505120694637
22,699,0.0037409993819892406,
22,712,,0.002440389711409807
23,743,,0.0021702649537473917
24,749,0.005125724710524082,
24,774,,0.0021290797740221024
25,799,0.0030874249059706926,
25,805,,0.0022628908045589924
26,836,,0.0022938542533665895
27,849,0.004397489130496979,
27,867,,0.002176980720832944
28,898,,0.0020911316387355328
29,899,0.005785479210317135,
29,929,,0.0022836283314973116
30,949,0.0028023384511470795,
30,960,,0.002143440069630742
31,991,,0.002096718642860651
32,999,0.003242668928578496,
32,1022,,0.002083832398056984
33,1049,0.003639517817646265,
33,1053,,0.0021606043446809053
34,1084,,0.0022533342707902193
35,1099,0.003947366960346699,
35,1115,,0.002094961004331708
36,1146,,0.0021851947531104088
37,1149,0.004072167910635471,
37,1177,,0.002156330505385995
38,1199,0.004213745705783367,
38,1208,,0.0021112265530973673
39,1239,,0.0021687455009669065
