epoch,step,train_loss,val_loss
0,11,,0.028296874836087227
1,23,,0.012991788797080517
2,35,,0.010527944192290306
3,47,,0.010654909536242485
4,49,0.07064123451709747,
4,59,,0.006655287928879261
5,71,,0.007146458141505718
6,83,,0.00477146590128541
7,95,,0.004222858231514692
8,99,0.017858417704701424,
8,107,,0.003536652773618698
9,119,,0.0024894748348742723
10,131,,0.004182793665677309
11,143,,0.0024938739370554686
12,149,0.010722163133323193,
12,155,,0.0030701588839292526
13,167,,0.004123168531805277
14,179,,0.0027833827771246433
