epoch,step,train_loss,val_loss
0,49,0.001166726928204298,
0,62,,0.020130852237343788
1,99,0.007141385227441788,
1,125,,0.08183153718709946
2,149,0.0035751615650951862,
2,188,,0.056888751685619354
3,199,0.010304425843060017,
3,249,0.0017460156232118607,
3,251,,0.025832539424300194
4,299,0.05893004685640335,
4,314,,0.021811561658978462
5,349,0.001467583468183875,
5,377,,0.008455820381641388
6,399,0.00017197642591781914,
6,440,,0.011949804611504078
7,449,0.00015990404062904418,
7,499,0.0011239543091505766,
7,503,,0.008370548486709595
8,549,0.001704766065813601,
8,566,,0.008191997185349464
9,599,3.4232398320455104e-05,
9,629,,0.007741554174572229
10,649,0.00016194269119296223,
10,692,,0.007854334078729153
11,699,0.00017740711336955428,
11,749,0.0009226324036717415,
11,755,,0.007435483857989311
12,799,0.00023484989651478827,
12,818,,0.00638936972245574
13,849,5.620804222417064e-05,
13,881,,0.0057709538377821445
14,899,7.789867231622338e-05,
14,944,,0.004652298055589199
15,949,6.002120062476024e-05,
15,999,0.00034353695809841156,
15,1007,,0.0037620512302964926
16,1049,0.00045271171256899834,
16,1070,,0.003404277842491865
17,1099,8.799445640761405e-05,
17,1133,,0.0034756711684167385
18,1149,4.228758916724473e-05,
18,1196,,0.002142074517905712
19,1199,0.00031065402436070144,
19,1249,0.0006669323774985969,
19,1259,,0.006045679561793804
20,1299,0.00025054137222468853,
20,1322,,0.002000135835260153
21,1349,6.0305384977255017e-05,
21,1385,,0.005792286247014999
22,1399,8.314529259223491e-05,
22,1448,,0.0020202025771141052
23,1449,0.001073715160600841,
23,1499,0.0014426520792767406,
23,1511,,0.008916942402720451
24,1549,0.00018078590801451355,
24,1574,,0.002289507770910859
25,1599,0.00016249097825493664,
25,1637,,0.004137679934501648
26,1649,6.654635944869369e-05,
26,1699,0.0007253751973621547,
26,1700,,0.0046137794852256775
27,1749,0.0004476877802517265,
27,1763,,0.004679548088461161
28,1799,0.00015806430019438267,
28,1826,,0.004176783375442028
29,1849,3.2786381780169904e-05,
29,1889,,0.004297484643757343
