epoch,step,train_loss,val_loss
0,49,0.04952172562479973,
0,62,,0.02063491940498352
1,99,0.012321831658482552,
1,125,,0.04766429588198662
2,149,0.012679874897003174,
2,188,,0.09939567744731903
3,199,0.011765822768211365,
3,249,0.02867233194410801,
3,251,,0.08450388163328171
4,299,0.009021828882396221,
4,314,,0.08322329074144363
5,349,0.0018047189805656672,
5,377,,0.05216527357697487
6,399,0.012151332572102547,
6,440,,0.04795333370566368
7,449,0.005853353068232536,
7,499,0.011811849661171436,
7,503,,0.04439061880111694
8,549,0.02828052081167698,
8,566,,0.04560038819909096
9,599,0.0038031223230063915,
9,629,,0.01986882835626602
10,649,0.005545346532016993,
10,692,,0.017444685101509094
11,699,0.003421205561608076,
11,749,0.010936135426163673,
11,755,,0.015608502551913261
12,799,0.004598108120262623,
12,818,,0.013442367315292358
13,849,0.000483479059766978,
13,881,,0.011255206540226936
14,899,0.0007907621329650283,
14,944,,0.010898753069341183
15,949,0.0009608591208234429,
15,999,0.004253694321960211,
15,1007,,0.0081251235678792
16,1049,0.001992658944800496,
16,1070,,0.00786255020648241
17,1099,0.0004323887114878744,
17,1133,,0.00700808223336935
18,1149,0.00038408651016652584,
18,1196,,0.006496995687484741
19,1199,0.0010015034349635243,
19,1249,0.0018809994217008352,
19,1259,,0.004996027797460556
20,1299,0.0007354698027484119,
20,1322,,0.0037922877818346024
21,1349,0.0004060724168084562,
21,1385,,0.0043523190543055534
22,1399,0.0005767670227214694,
22,1448,,0.001738778897561133
23,1449,0.0024756579659879208,
23,1499,0.004004557617008686,
23,1511,,0.006973204202950001
24,1549,0.00036470170016400516,
24,1574,,0.00406743073835969
25,1599,0.00037060008617118,
25,1637,,0.00415749941021204
26,1649,0.0005622910102829337,
26,1699,0.0024674839805811644,
26,1700,,0.00338643416762352
27,1749,0.003046270925551653,
27,1763,,0.003679455490782857
28,1799,0.0007439170149154961,
28,1826,,0.003506740089505911
29,1849,0.00032718497095629573,
29,1889,,0.0038289902731776237
